Feature,Importance
Steering Angle,0.2044402652874749
Speed,0.20411672739086728
Acceleration,0.2037899528026114
Distance Traveled (km),0.20323933744859832
Braking,0.021788529736345055
Time of Day_Night,0.010824722972818408
Weather Conditions_Snowy,0.01074149519028182
Time of Day_Evening,0.010714306345409024
Lane Position_Right,0.010465740019336381
Time of Day_Afternoon,0.010331815795786958
Lane Position_Center,0.01031434105259448
Weather Conditions_Rainy,0.010291735040603987
Time of Day_Morning,0.010218745700054332
Traffic Density_Low,0.010164337517567899
Traffic Density_Moderate,0.010048731212440522
Road Type_City,0.010007957260138473
Lane Position_Left,0.009912110890554195
Road Type_Highway,0.009847636716257203
Road Type_Rural,0.009819216364115951
Weather Conditions_Clear,0.00977752936207599
Traffic Density_High,0.00914476589406753
